ID,Possession Status,Commercial,Developer,Price,sqft Price ,furnished Type,Bathroom,Facing,Transaction Type,Type of Property,City,bedroom,floors,isPrimeLocationProperty,Property Lifespan
8949,Ready to Move,N,Rustomjee,11900000,11852,Unfurnished,2,East,Resale,Apartment,Thane,2,20,N,Less than 5 years
8948,Under Construction,N,Siddhi Group,7500000,11538,Unfurnished,2,NA,Resale,Apartment,Thane,1,30,N,NA
8947,Ready to Move,N,Gala Developers,8500000,12782,Unfurnished,2,NA,Resale,Apartment,Thane,1,14,Y,5 to 10 years
8946,Ready to Move,N,Siddhi Group,11000000,NA,Unfurnished,2,East,Resale,Apartment,Thane,2,23,Y,Less than 5 years
8945,Under Construction,N,Kalpataru Ltd.,15000000,13889,Unfurnished,2,East,New Property,Apartment,Thane,2,29,Y,NA
8944,Ready to Move,N,NA,9500000,13343,Unfurnished,2,East,Resale,Apartment,Thane,2,7,Y,15 to 20 years
8943,Under Construction,N,Godrej Properties,13000000,NA,Semi-Furnished,2,East,Resale,Apartment,Thane,2,27,Y,NA
8942,Ready to Move,N,NA,9599000,14413,Furnished,2,West,Resale,Apartment,Thane,2,22,Y,Less than 5 years
8941,Ready to Move,N,Siddhi Group,7500000,12417,Unfurnished,2,NA,Resale,Apartment,Thane,1,15,Y,NA
8940,Ready to Move,N,Lodha,17500000,16795,Unfurnished,3,NA,Resale,Apartment,Thane,3,29,Y,NA
8939,Ready to Move,N,Lodha,11000000,13750,Semi-Furnished,2,NA,Resale,Apartment,Thane,2,27,Y,Less than 5 years
8938,Ready to Move,N,Lodha,12800000,14936,Semi-Furnished,2,East,New Property,Apartment,Thane,2,29,Y,New Construction
8937,Ready to Move,N,Unique Shanti Developers Pvt. Ltd.,6800000,11624,Furnished,2,East,Resale,Apartment,Thane,1,7,N,NA
8936,Ready to Move,N,NA,12500000,12195,Furnished,2,East,Resale,Apartment,Thane,2,16,N,Less than 5 years
8935,Ready to Move,N,NA,7700000,12222,Unfurnished,2,West,Resale,Apartment,Thane,2,7,N,5 to 10 years
8934,Ready to Move,N,Lodha,9500000,20000,Unfurnished,2,NA,New Property,Apartment,Thane,2,21,N,New Construction
8933,Ready to Move,N,Jaiveer Group,6500000,NA,Semi-Furnished,1,West,Resale,Apartment,Thane,1,7,N,5 to 10 years
8932,Ready to Move,N,Kalpataru Ltd.,10000000,15385,Semi-Furnished,2,East,Resale,Apartment,Thane,2,26,N,Less than 5 years
8931,Ready to Move,N,Lodha,5400000,15976,Unfurnished,1,South,Resale,Apartment,Thane,1,14,N,New Construction
8930,Ready to Move,N,Siddhi Group,7600000,10857,Unfurnished,2,East,Resale,Apartment,Thane,1,30,N,New Construction
8929,Under Construction,N,Runwal Developers,9500000,15323,Semi-Furnished,2,East,Resale,Apartment,Thane,1,35,N,NA
8928,Ready to Move,N,Rutu Group,7900000,13167,Semi-Furnished,2,North - East,Resale,Apartment,Thane,2,4,N,Above 20 years
8927,Ready to Move,N,NA,12500000,12500,Furnished,2,NA,Resale,Builder Floor Apartment,Thane,2,4,N,15 to 20 years
8926,Ready to Move,N,Cosmos Group,15000000,15789,Furnished,2,North - East,Resale,Apartment,Thane,2,27,N,5 to 10 years
8925,Ready to Move,N,Madhav Shreeji Group,9000000,11628,Unfurnished,2,East,Resale,Apartment,Thane,2,17,N,5 to 10 years
8924,Ready to Move,N,Lodha,9600000,17423,Unfurnished,1,NA,Resale,Apartment,Thane,1,31,N,NA
8923,Ready to Move,N,Mukta Developers,6000000,7059,Semi-Furnished,2,East,Resale,Apartment,Thane,2,7,N,Less than 5 years
